Date,Balanced,High Growth,Low Risk
2018-01-31,0.0,0.0,0.0
2018-02-28,-0.10640802198499419,-0.14996100659895623,-0.054893315865930464
2018-03-29,0.0544262774717975,0.07736284714345003,0.02654679849797893
2018-04-30,0.008054848513876911,0.011876177222773813,0.004035509431515466
2018-05-31,-0.02071000438438401,-0.0320535798761939,-0.010417326367818823
2018-06-29,-0.005554532235052282,-0.010367235367504911,-0.002764921504206811
2018-07-31,0.04645730461694809,0.07602801969545626,0.023060714010791503
2018-08-31,-0.04561977835405122,-0.06837006568656977,-0.023162851223318022
2018-09-28,0.0256863607279954,0.03728645968647879,0.01274209055822745
2018-10-31,-0.08557807820544287,-0.130061622622071,-0.04299484224957401
2018-11-30,0.10319970782570617,0.16324465630369692,0.049540986314267274
2018-12-31,-0.05566708260579982,-0.0764727346594682,-0.028089200455928182
2019-01-31,0.11959031371111975,0.17521839740987546,0.058632125966408016
2019-02-28,-0.05056492693094389,-0.07142682427187366,-0.026218212782291972
2019-03-29,-0.005143454313869136,-0.008544924686253163,-0.0026002326650503655
2019-04-30,0.016677067844284552,0.026340038694157516,0.008409462103942304
2019-05-31,-0.07890091034989409,-0.12376801797760775,-0.04011221570103308
2019-06-28,0.11486028422172727,0.17768047926177263,0.056033843499338966
2019-07-31,-0.0681588524504826,-0.09432692647868102,-0.035103094557277836
2019-08-30,-0.0048791147894213585,-0.009314385556322061,-0.002426750568482828
2019-09-30,0.04903124305960798,0.07949564407857042,0.024326971955602704
2019-10-31,0.005675558657622435,0.0061302580931201734,0.002883856071342735
2019-11-29,-0.018590321394291984,-0.027675318615891162,-0.009472380133098717
2019-12-31,0.032357127716849045,0.051934928921234406,0.016335255440837533
2020-01-31,-0.07560303983910975,-0.1167803636466342,-0.0387693209669392
2020-02-28,-0.039975455635014,-0.0585901359169019,-0.019713931549641704
2020-03-31,-0.08515651946219707,-0.10464172905693422,-0.04112701885436088
2020-04-30,0.24746926167246108,0.3676885394966909,0.11402926012942771
2020-05-29,-0.0146276116211965,-0.022616120737125225,-0.007547475641304491
2020-06-30,-0.003174005867057131,-0.007931869674130275,-0.001626022954516352
2020-07-31,0.0010552773236269448,0.0032934042476590298,0.0005397736190287551
2020-08-31,0.004220066455409372,0.008614324502563199,0.002159673210558874
2020-09-30,-0.06017808567853579,-0.09030035441834498,-0.030860225263487015
2020-10-30,-0.0037559468549448406,-0.00335356848061584,-0.001867838451768098
2020-11-30,0.14990995191964346,0.22790356736320627,0.07440943902979626
2020-12-31,-0.05317224310443183,-0.07029391010268132,-0.028247275437624647
2021-01-29,-0.05908243244686699,-0.09404984978748739,-0.030581949319132995
2021-02-26,0.026393710800349624,0.041238792475468675,0.013260128295997844
2021-03-31,-0.004314710536234756,-0.007306526732602296,-0.0021957958817244976
2021-04-30,0.010919905586608079,0.013758641532414231,0.005545439171008466
2021-05-28,0.002572068765147421,0.006793409676479951,0.0013131510502081025
2021-06-30,-0.04120050618567057,-0.06135736002974291,-0.021061065691239705
2021-07-30,-0.010715807353044187,-0.01444912278315289,-0.005365063700403356
2021-08-31,0.035926835937015025,0.04977459654272338,0.017890658103256397
2021-09-30,-0.06443227796681684,-0.0884054651507174,-0.03265418031306408
2021-10-29,0.08693380646239231,0.12646966284673997,0.04261058211434383
2021-11-30,-0.09157977766765948,-0.12780564025824032,-0.046796063782720554
2021-12-31,0.10827057728387299,0.15344631545831675,0.05272555479133069
2022-01-31,-0.07808077915053555,-0.11333728614800109,-0.04002999006358135
2022-02-28,-0.0020913741695233836,0.0002593592510720892,-0.0010296942500702898
2022-03-31,0.03772318650966607,0.057141415741274064,0.018553383272301317
2022-04-29,-0.07711005037167833,-0.11096133562385273,-0.03863878460619887
2022-05-31,0.10324732458000756,0.15610188605983702,0.049665475327393065
2022-06-30,-0.10718196230421946,-0.1551108370758031,-0.05419003897928688
2022-07-29,0.14860268384055758,0.22167198908283123,0.07092240998629398
2022-08-31,-0.08801818091358211,-0.12404554598893416,-0.04505479733038829
2022-09-30,-0.05579361108606967,-0.08765206691694145,-0.02727475459853873
2022-10-31,0.15570852396580004,0.24994172383162838,0.0738865717259021
2022-11-30,0.0877269066221466,0.1285457768571278,0.044799776634850706
2022-12-02,-0.10654586404217899,-0.15184045340320693,-0.05664563232615805
